,0
fdc_id,0
food_name,0
food_group,0
calcium_mg,36
carbohydrate_g,0
cholesterol_mg,258
choline_mg,2632
copper_mg,372
energy_kcal,0
saturated_fat_g,210
trans_fat_g,2768
fiber_g,397
fluoride_mg,5810
folate_mg,1043
iron_mg,37
magnesium_mg,262
manganese_mg,891
vitamin_b3_niacin_mg,298
vitamin_b5_pantothenic_acid_mg,1056
phosphorus_mg,252
potassium_mg,176
protein_g,0
vitamin_b2_riboflavin_mg,282
selenium_mg,722
sodium_mg,3
sugar_g,1474
vitamin_b1_thiamin_mg,301
fat_g,0
vitamin_a_rae_mg,679
vitamin_b12_mg,519
vitamin_b6_mg,377
vitamin_c_mg,336
vitamin_d_mg,2066
vitamin_e_mg,1827
vitamin_k_mg,2273
water_g,0
zinc_mg,276
