fdc_id,food_name,food_group,calcium_mg,carbohydrate_g,cholesterol_mg,choline_mg,copper_mg,energy_kcal,saturated_fat_g,trans_fat_g,fiber_g,fluoride_mg,folate_mg,iron_mg,magnesium_mg,manganese_mg,vitamin_b3_niacin_mg,vitamin_b5_pantothenic_acid_mg,phosphorus_mg,potassium_mg,protein_g,vitamin_b2_riboflavin_mg,selenium_mg,sodium_mg,sugar_g,vitamin_b1_thiamin_mg,fat_g,vitamin_a_rae_mg,vitamin_b12_mg,vitamin_b6_mg,vitamin_c_mg,vitamin_d_mg,vitamin_e_mg,vitamin_k_mg,water_g,zinc_mg,consumption_label,cuisine_label,suitable_for_cvd_cholesterol,food_name_original,cuisine
167516,Buttermilk Waffles,Baked Products,279.0,41.05,15.0,0.0,0.04,273.0,1.898,0.0,2.2,0.0,0.096,6.04,19.0,0.215,6.675,0.24,388.0,126.0,6.58,0.665,0.0095,621.0,4.3,0.499,9.22,0.401,0.00286,0.972,0.0,0.0,0.62,0.0105,40.34,0.48,Main Course,Generic,True,"Waffles, buttermilk, frozen, ready-to-heat",Western
167517,Toasted Buttermilk Waffles,Baked Products,299.0,48.39,13.0,28.1,0.037,309.0,2.275,0.0,2.6,0.0,0.107,6.59,22.0,0.223,7.942,0.217,444.0,138.0,7.42,0.648,0.0103,710.0,4.41,0.563,9.49,0.438,0.00162,1.11,0.0,0.0,0.68,0.0125,31.57,0.48,Main Course,Generic,True,"Waffle, buttermilk, frozen, ready-to-heat, toasted",Western
167518,Microwaved Buttermilk Waffle,Baked Products,125.0,44.16,16.0,0.0,0.063,289.0,2.057,0.0,2.4,0.0,0.099,6.53,20.0,0.235,6.73,0.24,410.0,110.0,6.92,0.695,0.0101,663.0,4.5,0.576,9.4,0.429,0.00244,1.105,0.0,0.0,0.63,0.0108,36.48,0.58,Main Course,Generic,True,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",Western
167519,Plain Waffles,Baked Products,197.0,45.41,16.0,0.0,0.038,298.0,1.58,0.0,2.4,0.0,0.106,5.81,25.0,0.154,7.785,0.325,410.0,148.0,6.71,0.655,0.0128,682.0,5.04,0.544,9.91,0.0,0.00218,1.016,0.0,0.0,0.95,0.0081,34.95,0.45,Snack,Generic,True,"Waffle, plain, frozen, ready-to-heat, microwave",Western
167522,Dutch Apple Pie,Baked Products,14.0,44.54,0.0,17.0,0.148,290.0,2.313,0.0,1.6,0.0,0.032,0.91,8.0,0.233,1.094,0.096,29.0,76.0,2.17,0.067,0.0022,200.0,22.02,0.193,11.5,0.018,0.0,0.039,5.7,0.0,0.96,0.0163999999999999,41.09,0.19,Snack,Generic,True,"Pie, Dutch Apple, Commercially Prepared",Western
167524,Chocolate Chip Waffles,Baked Products,357.0,45.68,21.0,15.9,0.221,297.0,3.567,0.2,1.5,0.0,0.117,6.4,16.0,0.393,5.7,0.218,272.0,74.0,5.8,0.49,0.0131,529.0,13.1,0.43,10.1,0.429,0.0017,0.57,0.0,0.0001,0.0,0.0093,35.62,0.4,Main Course,Generic,True,"Waffles, chocolate chip, frozen, ready-to-heat",Western
167525,Corn Tostada Shells,Baked Products,76.0,64.43,0.0,0.0,0.148,474.0,7.011,0.163,5.8,0.0,0.0,1.53,76.0,0.363,1.553,0.191,203.0,237.0,6.15,0.094,0.0022,657.0,0.0,0.353,23.38,0.0,0.0,0.363,0.0,0.0,0.0,0.0,3.32,1.23,Side Dish,Generic,True,"Tostada shells, corn",Generic
167528,Guava Pastries,Baked Products,14.0,47.76,10.0,0.0,0.079,379.0,5.535,2.853,2.2,0.0,0.0,2.12,15.0,0.265,2.493,0.27,56.0,103.0,5.48,0.117,0.0175,231.0,17.0,0.19,18.5,0.0,0.0,0.053,0.0,0.0,0.95,0.0125,27.26,0.42,Snack,Generic,False,"Pastry, Pastelitos de Guava (guava pastries)",Generic
167530,Cream Crackers,Baked Products,26.0,64.55,0.0,0.0,0.111,484.0,5.362,3.969,2.4,0.0,0.253,7.38,25.0,0.778,5.08,0.462,98.0,129.0,7.01,0.24,0.0095,1148.0,9.37,0.298,20.37,0.0,0.00046,0.065,0.0,0.0,1.59,0.0179,4.45,0.66,Snack,Generic,False,"Crackers, cream, Gamesa Sabrosas",Generic
167533,Wheat Bagels,Baked Products,20.0,48.89,0.0,9.8,0.175,250.0,0.0,0.0,4.1,0.0241,0.108,2.76,51.0,1.43,3.37,0.375,142.0,165.0,10.2,0.209,0.0287,439.0,6.12,0.403,1.53,0.0,0.0,0.147,0.0,0.0,0.32,0.0015,37.55,1.1,Snack,Generic,True,"Bagels, wheat",Generic
