food_group,food_name,old_label,new_label,confidence,sample_type
American Indian/Alaska Native Foods,"Wocas, dried seeds, Oregon, yellow pond lily (Klamath)",Main Course,Snack,low,CHANGED
American Indian/Alaska Native Foods,"Wocas, tuber, cooked, Oregon, yellow pond lily (Klamath)",Main Course,Snack,low,CHANGED
American Indian/Alaska Native Foods,"Mush, blue corn with ash (Navajo)",Snack,Snack,low,UNCHANGED
American Indian/Alaska Native Foods,"Cornmeal, blue (Navajo)",Snack,Snack,low,UNCHANGED
Baked Products,"Bread, white, commercially prepared, toasted, low sodium no salt",Main Course,Snack,medium,CHANGED
Baked Products,"Pie, pecan, prepared from recipe",Main Course,Snack,medium,CHANGED
Baked Products,"Cake, snack cakes, not chocolate, with icing or filling, low-fat, with added fiber",Snack,Snack,high,UNCHANGED
Baked Products,"Cookies, chocolate chip, prepared from recipe, made with butter",Snack,Snack,high,UNCHANGED
Beef Products,"Beef, New Zealand, imported, ribs prepared, cooked, fast roasted",Main Course,Main Course,high,UNCHANGED
Beef Products,"Beef, ground, unspecified fat content, cooked",Main Course,Main Course,high,UNCHANGED
Beverages,"Lemonade, frozen concentrate, white",Snack,Drink,high,CHANGED
Beverages,"Shake, fast food, vanilla",Snack,Drink,high,CHANGED
Beverages,"Beverages, coffee, instant, mocha, sweetened",Drink,Drink,high,UNCHANGED
Beverages,"Lemonade, frozen concentrate, white, prepared with water",Drink,Drink,high,UNCHANGED
Breakfast Cereals,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS with vanilla bunches",Snack,Side Dish,medium,CHANGED
Breakfast Cereals,"Cereals ready-to-eat, QUAKER, KING VITAMAN",Snack,Side Dish,medium,CHANGED
Breakfast Cereals,"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, dry",Main Course,Main Course,medium,UNCHANGED
Breakfast Cereals,"Cereals, corn grits, yellow, regular and quick, enriched, cooked with water, without salt",Main Course,Main Course,high,UNCHANGED
Cereal Grains and Pasta,Arrowroot flour,Snack,Main Course,medium,CHANGED
Cereal Grains and Pasta,Cornstarch,Snack,Main Course,medium,CHANGED
Cereal Grains and Pasta,"Noodles, egg, enriched, cooked",Main Course,Main Course,medium,UNCHANGED
Cereal Grains and Pasta,"Pasta, dry, enriched",Main Course,Main Course,medium,UNCHANGED
Dairy and Egg Products,"Milk, dry, nonfat, calcium reduced",Snack,Drink,medium,CHANGED
Dairy and Egg Products,"Yogurt, plain, low fat",Drink,Snack,medium,CHANGED
Dairy and Egg Products,"Butter, salted",Side Dish,Side Dish,high,UNCHANGED
Dairy and Egg Products,"Whey, acid, fluid",Drink,Drink,high,UNCHANGED
Fast Foods,"McDONALD'S, Fruit 'n Yogurt Parfait (without granola)",Snack,Main Course,medium,CHANGED
Fast Foods,"POPEYES, biscuit",Snack,Main Course,medium,CHANGED
Fast Foods,"McDONALD'S, Sausage McMUFFIN with Egg",Main Course,Main Course,medium,UNCHANGED
Fast Foods,"TACO BELL, Nachos Supreme",Main Course,Main Course,medium,UNCHANGED
Fats and Oils,"Salad dressing, russian dressing, low calorie",Snack,Side Dish,high,CHANGED
Fats and Oils,"Dressing, honey mustard, fat-free",Snack,Side Dish,high,CHANGED
Fats and Oils,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",Side Dish,Side Dish,high,UNCHANGED
Fats and Oils,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, fat-free",Side Dish,Side Dish,high,UNCHANGED
Finfish and Shellfish Products,"Fish, herring, Atlantic, pickled",Side Dish,Main Course,high,CHANGED
Finfish and Shellfish Products,"Mollusks, clam, mixed species, canned, liquid",Drink,Main Course,high,CHANGED
Finfish and Shellfish Products,"Crustaceans, crab, dungeness, cooked, moist heat",Main Course,Main Course,high,UNCHANGED
Finfish and Shellfish Products,"Fish, shark, mixed species, cooked, batter-dipped and fried",Main Course,Main Course,high,UNCHANGED
Fruits and Fruit Juices,"Guanabana nectar, canned",Drink,Snack,high,CHANGED
Fruits and Fruit Juices,"Grapefruit, raw, pink and red, California and Arizona",Drink,Snack,high,CHANGED
Fruits and Fruit Juices,"Pomegranate juice, bottled",Drink,Drink,high,UNCHANGED
Fruits and Fruit Juices,"Apricots, canned, extra heavy syrup pack, without skin, solids and liquids",Snack,Snack,high,UNCHANGED
"Lamb, Veal, and Game Products","Lamb, New Zealand, imported, square-cut shoulder, separable lean and fat, cooked, slow roasted",Main Course,Main Course,high,UNCHANGED
"Lamb, Veal, and Game Products","Lamb, New Zealand, imported, loin saddle, separable lean and fat, cooked, fast roasted",Main Course,Main Course,high,UNCHANGED
Legumes and Legume Products,"Soy protein concentrate, produced by acid wash",Snack,Main Course,medium,CHANGED
Legumes and Legume Products,"Soybeans, mature seeds, raw",Snack,Main Course,high,CHANGED
Legumes and Legume Products,"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, drained solids",Main Course,Main Course,high,UNCHANGED
Legumes and Legume Products,"Lupins, mature seeds, raw",Main Course,Main Course,high,UNCHANGED
"Meals, Entrees, and Side Dishes","Macaroni or noodles with cheese, microwaveable, unprepared",Snack,Main Course,medium,CHANGED
"Meals, Entrees, and Side Dishes",Potato salad with egg,Snack,Main Course,medium,CHANGED
"Meals, Entrees, and Side Dishes","Spanish rice mix, dry mix, prepared (with canola/vegetable oil blend or diced tomatoes and margarine)",Main Course,Main Course,medium,UNCHANGED
