trial,pop_size,generations,elite_ratio,mutation_rate,ls_iterations,fitness,csr_pct,std_fitness,std_csr,is_pareto
0,71,91,0.15,0.35,37,226304.85205336395,37.83068783068783,66087.58533637178,9.194786876710458,False
1,90,200,0.2,0.35,15,205732.6513659576,37.3015873015873,57811.73431083853,9.187172145071608,False
2,60,50,0.25,0.35,40,228572.54307181304,39.68253968253968,71497.64587755207,7.360014678964846,False
3,50,200,0.25,0.15000000000000002,15,253323.2732823241,37.83068783068783,97077.84284188818,9.194786876710458,False
4,70,90,0.15000000000000002,0.25,20,253229.55891754842,48.41269841269841,49703.45216661494,15.592764051101982,True
5,110,70,0.1,0.25,30,198372.32481894759,41.00529100529101,51321.75559365217,9.079895397741014,True
6,130,80,0.15000000000000002,0.35,10,216863.52077416505,35.44973544973545,74197.3477305773,10.29369124780091,False
7,110,70,0.05,0.5,50,207934.40732090955,37.3015873015873,56493.85834755197,9.187172145071608,False
8,130,90,0.05,0.4,25,213452.73851369377,40.21164021164021,74670.17479075606,9.263037777783913,False
9,60,120,0.05,0.5,20,237617.91610081005,39.15343915343915,67029.26501828089,8.75017746483663,False
10,120,90,0.15000000000000002,0.30000000000000004,15,219541.7722811669,37.3015873015873,73167.10696870394,9.187172145071608,False
11,150,170,0.25,0.5,35,190936.7397276311,33.5978835978836,51713.457900543806,11.884167960431853,True
12,150,60,0.05,0.1,20,229658.80667563566,44.97354497354497,79571.5670766742,12.504023595869281,True
13,90,90,0.25,0.25,20,219837.51755519627,37.83068783068783,66616.42574118028,9.194786876710458,False
14,100,70,0.25,0.1,50,248117.8538489785,39.15343915343915,68214.38552949924,8.75017746483663,False
15,130,80,0.05,0.45000000000000007,40,205306.69440116663,37.83068783068783,75915.11929271759,9.194786876710458,False
