,0
fdc_id,0
food_name,0
food_group,0
"Calcium, Ca",53
"Carbohydrate, by difference",0
Cholesterol,337
"Choline, total",2861
"Copper, Cu",447
Energy,0
"Fatty acids, total saturated",289
"Fiber, total dietary",488
"Fluoride, F",6355
"Folate, DFE",1168
"Iron, Fe",48
"Magnesium, Mg",323
"Manganese, Mn",1159
Niacin,330
Pantothenic acid,1250
"Phosphorus, P",275
"Potassium, K",231
Protein,0
Riboflavin,313
"Selenium, Se",829
"Sodium, Na",49
"Sugars, Total",1616
Thiamin,328
Total lipid (fat),0
"Vitamin A, RAE",772
Vitamin B-12,598
Vitamin B-6,452
"Vitamin C, total ascorbic acid",390
Vitamin D (D2 + D3),2266
Vitamin E (alpha-tocopherol),1983
Vitamin K (phylloquinone),2468
Water,0
"Zinc, Zn",337
