disease,nutrient,min,max
dm2,energy_kcal,1800,2200
dm2,carb_g,225,"302,5"
dm2,protein_g,54,"82,5"
dm2,fat_g,,"73,33"
dm2,cholesterol_mg,,300
dm2,fiber_g,20,35
dm2,vitamin_b6_mg,"1,3",
dm2,vitamin_b12_μg,"2,4",
dm2,vitamin_c_mg,75,90
dm2,vitamin_a_μg,700,900
dm2,iron_mg,8,18
dm2,zinc_mg,8,11
dm2,calcium_mg,1000,1000
dm2,sodium_mg,,1500
dm2,potassium_mg,2600,3400
dm2,fruits_and_vegies_g,400,
hypertension,energy_kcal,2100,2100
hypertension,sodium_mg,,1500
hypertension,fat_g,63,63
hypertension,saturated fat_g,14,14
hypertension,protein_g,"94,5","94,5"
hypertension,carb_g,"288,75","288,75"
hypertension,potassium_mg,4700,4700
hypertension,calcium_mg,1250,1250
hypertension,magnesium_mg,500,500
hypertension,cholesterol_mg,150,150
hypertension,fiber_g,30,30
cvd,saturated fat_g,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
ckd_stage1,protein,50,70
cholesterol,cholesterol,0,200
