Profile,Greedy Time (s),GA Time (s),Greedy Feasibility (%),GA Feasibility (%)
Normal,0.49775250752766925,36.58941181500753,0.0,66.66666666666666
Diabetes Melitus Type 2,2.367946147918701,57.121791203816734,0.0,0.0
Hypertension,1.404720942179362,41.10827819506327,0.0,0.0
Cardiovascular Disease,0.7573208014170328,25.87295913696289,0.0,100.0
Hypercholesterolemia,0.6396393775939941,26.549469073613484,0.0,100.0
Chronic Kidney Disease Stage 1,0.903531551361084,44.77020080884298,0.0,0.0
Diabetes + Hipertensi,1.9829349517822266,46.93751390775045,0.0,0.0
Diabetes + Hiperkolesterolemia,1.4216045538584392,28.98213251431783,0.0,0.0
Hipertensi + Kardiovaskular,0.8897049427032471,29.788268009821575,0.0,0.0
CKD + Hipertensi,1.7898826599121094,39.930543422698975,0.0,0.0
Diabetes + Hipertensi + Hiperkolesterolemia,1.640381892522176,32.61054968833923,0.0,0.0
CKD + Diabetes + Hipertensi,1.2116644382476807,29.521837552388508,0.0,0.0
Hipertensi + Hiperkolesterolemia + CVD,0.9101717472076416,26.86888321240743,0.0,0.0
