Profile,Greedy Runtime (s),GA Runtime (s)
Normal,1.0881,28.1727
Diabetes Melitus Tipe 2,1.7372,31.713
Hipertensi,1.3417,27.6494
Penyakit Kardiovaskular,1.1129,20.097
Hiperkolesterolemia,1.1814,28.1181
Penyakit Ginjal Kronis,1.2993,37.9116
DM2 + Hipertensi,2.1279,30.911
DM2 + CVD,1.9268,28.5582
DM2 + Hiperkolesterolemia,1.9149,28.9391
DM2 + CKD,1.8837,27.7681
Hipertensi + CVD,1.4767,31.1529
Hipertensi + Hiperkolesterolemia,1.3331,26.1577
Hipertensi + CKD,1.4543,30.7602
CVD + Hiperkolesterolemia,0.9702,28.4914
CVD + CKD,1.2537,26.5214
Hiperkolesterolemia + CKD,1.2398,30.9689
DM2 + Hipertensi + CVD,1.7992,29.3486
DM2 + Hipertensi + Hiperkolesterolemia,2.0566,32.2053
DM2 + Hipertensi + CKD,1.7324,29.6022
DM2 + CVD + Hiperkolesterolemia,1.7978,30.4871
DM2 + CVD + CKD,1.758,31.8926
DM2 + Hiperkolesterolemia + CKD,1.9322,37.8393
Hipertensi + CVD + Hiperkolesterolemia,1.4512,28.8154
Hipertensi + CVD + CKD,1.4636,32.914
Hipertensi + Hiperkolesterolemia + CKD,1.594,32.2298
CVD + Hiperkolesterolemia + CKD,1.3079,30.9606
