Profile,Group,Generation,Mean Fitness,Std Fitness
Normal,Normal,1,43104.13,4255.09
Normal,Normal,2,33744.02,6590.57
Normal,Normal,3,26634.56,4016.44
Normal,Normal,4,25373.14,3126.21
Normal,Normal,5,19696.19,5231.68
Normal,Normal,6,16854.88,3924.05
Normal,Normal,7,15029.13,2773.69
Normal,Normal,8,13273.53,3070.24
Normal,Normal,9,12247.63,3496.73
Normal,Normal,10,11977.8,3199.2
Normal,Normal,11,9840.42,2048.14
Normal,Normal,12,9073.23,2472.06
Normal,Normal,13,7642.49,2723.66
Normal,Normal,14,6828.06,2694.82
Normal,Normal,15,5876.89,2595.11
Normal,Normal,16,5638.55,2513.48
Normal,Normal,17,5473.17,2543.16
Normal,Normal,18,4944.48,2553.54
Normal,Normal,19,4634.91,2498.56
Normal,Normal,20,4456.59,2547.05
Normal,Normal,21,4312.94,2552.92
Normal,Normal,22,4153.81,2537.22
Normal,Normal,23,3854.31,2694.64
Normal,Normal,24,3688.85,2757.5
Normal,Normal,25,3476.63,2669.78
Normal,Normal,26,3310.15,2697.64
Normal,Normal,27,3237.44,2762.71
Normal,Normal,28,3203.42,2690.35
Normal,Normal,29,3145.74,2718.82
Normal,Normal,30,3106.17,2739.43
Normal,Normal,31,3090.33,2697.05
Normal,Normal,32,3075.01,2696.84
Normal,Normal,33,2968.78,2704.34
Normal,Normal,34,2894.78,2702.53
Normal,Normal,35,2836.04,2719.38
Normal,Normal,36,2797.26,2708.64
Normal,Normal,37,2746.41,2606.35
Normal,Normal,38,2697.31,2628.48
Normal,Normal,39,2579.29,2622.69
Normal,Normal,40,2392.7,2702.0
Normal,Normal,41,2307.75,2689.06
Normal,Normal,42,2298.88,2687.93
Normal,Normal,43,2201.87,2741.7
Normal,Normal,44,2103.13,2761.51
Normal,Normal,45,2047.62,2761.07
Normal,Normal,46,2040.55,2761.39
Normal,Normal,47,2031.92,2764.73
Normal,Normal,48,2008.85,2780.33
Normal,Normal,49,1958.39,2759.86
Normal,Normal,50,1935.3,2757.15
Normal,Normal,51,1887.44,2765.39
Normal,Normal,52,1859.72,2769.31
Normal,Normal,53,1859.72,2769.31
Normal,Normal,54,1859.1,2769.73
Normal,Normal,55,1849.34,2772.83
Normal,Normal,56,1833.16,2781.64
Normal,Normal,57,1791.83,2792.53
Normal,Normal,58,1791.83,2792.53
Normal,Normal,59,1791.83,2792.53
Normal,Normal,60,1776.3,2796.18
Normal,Normal,61,1776.3,2796.18
Normal,Normal,62,1776.3,2796.18
Normal,Normal,63,1776.27,2796.18
Normal,Normal,64,1772.36,2796.69
Normal,Normal,65,1772.36,2796.69
Normal,Normal,66,1769.54,2797.38
Normal,Normal,67,1750.52,2808.26
Normal,Normal,68,1750.52,2808.26
Normal,Normal,69,1743.75,2807.98
Normal,Normal,70,1726.13,2810.7
Normal,Normal,71,1719.43,2811.99
Normal,Normal,72,1719.43,2811.99
Normal,Normal,73,1719.43,2811.99
Normal,Normal,74,1719.43,2811.99
Normal,Normal,75,1673.95,2757.99
