Profile,Optimal (%),Deficient (%),Excess (%),Optimal Std
Normal,75.0,23.75,1.25,4.419417382415922
Diabetes Melitus Tipe 2,73.93939393939394,16.363636363636367,9.696969696969697,3.636363636363631
Hipertensi,75.15151515151516,19.393939393939394,5.454545454545455,2.969078476100816
Penyakit Kardiovaskular,89.6969696969697,9.696969696969699,0.6060606060606061,1.4845392380504114
Hiperkolesterolemia,78.82352941176471,18.823529411764707,2.352941176470588,4.705882352941171
Penyakit Ginjal Kronis,66.06060606060605,26.060606060606055,7.87878787878788,4.453617714151234
DM2 + Hipertensi,65.45454545454545,21.81818181818182,12.727272727272728,6.23977584302242
DM2 + CVD,70.58823529411765,20.0,9.411764705882353,4.921529567847501
DM2 + Hiperkolesterolemia,65.29411764705881,24.11764705882353,10.588235294117647,4.322628957852668
DM2 + CKD,69.6969696969697,18.18181818181818,12.121212121212121,4.285495643554835
Hipertensi + CVD,76.47058823529412,18.823529411764707,4.705882352941176,4.15945165403851
Hipertensi + Hiperkolesterolemia,66.47058823529412,24.705882352941178,8.823529411764707,9.411764705882351
Hipertensi + CKD,52.72727272727273,31.51515151515152,15.757575757575756,4.11050302007592
CVD + Hiperkolesterolemia,84.70588235294117,13.52941176470588,1.764705882352941,2.2009749333964397
CVD + CKD,62.94117647058823,27.64705882352941,9.411764705882353,3.529411764705882
Hiperkolesterolemia + CKD,71.76470588235296,22.941176470588232,5.294117647058824,1.4408763192842209
DM2 + Hipertensi + CVD,64.70588235294117,23.529411764705884,11.764705882352942,6.169463812765596
DM2 + Hipertensi + Hiperkolesterolemia,67.05882352941178,20.58823529411765,12.352941176470589,4.7058823529411775
DM2 + Hipertensi + CKD,60.6060606060606,23.03030303030303,16.363636363636367,5.420770854544947
DM2 + CVD + Hiperkolesterolemia,68.23529411764707,21.176470588235297,10.588235294117649,7.058823529411763
DM2 + CVD + CKD,71.76470588235296,15.294117647058822,12.941176470588237,6.056253024109997
DM2 + Hiperkolesterolemia + CKD,63.52941176470588,21.764705882352942,14.705882352941178,6.056253024110001
Hipertensi + CVD + Hiperkolesterolemia,70.58823529411765,21.764705882352942,7.647058823529411,5.580489988532432
Hipertensi + CVD + CKD,58.23529411764706,27.647058823529413,14.117647058823527,5.703152773430975
Hipertensi + Hiperkolesterolemia + CKD,62.94117647058823,22.352941176470587,14.705882352941178,6.056253024110001
CVD + Hiperkolesterolemia + CKD,65.29411764705883,25.294117647058822,9.411764705882353,5.391265523477459
