Profile,CS Rate,N Constraints,Avg Deviation,Best Fitness (Mean),Best Fitness (Std)
Normal,90.47619047619048,6/7,49.62019486491133,504.7,340.6
Diabetes Melitus Tipe 2,70.58823529411765,12/17,39.88953430122615,21178.7,1446.6
Hipertensi,69.44444444444444,8/12,41.262613639951695,2926.2,2073.8
Penyakit Kardiovaskular,100.0,8/8,48.02711345219134,1.7,0.0
Hiperkolesterolemia,96.2962962962963,8/9,46.5934062360638,116.0,143.6
Penyakit Ginjal Kronis,69.6969696969697,7/11,46.5172033082517,12362.9,6403.5
DM2 + Hipertensi,68.5185185185185,12/18,39.9714838037181,10097.6,1478.9
DM2 + CVD,66.66666666666667,12/18,38.45460744519769,19530.8,1922.2
DM2 + Hiperkolesterolemia,79.62962962962963,14/18,40.66906061797444,7012.3,761.6
DM2 + CKD,59.25925925925926,10/18,40.70032610006634,20455.6,3243.5
Hipertensi + CVD,79.48717948717949,10/13,44.19867660684372,972.1,1065.5
Hipertensi + Hiperkolesterolemia,84.61538461538461,11/13,44.04839639381055,787.4,305.7
Hipertensi + CKD,54.76190476190476,7/14,40.01617926061182,10198.9,2050.3
CVD + Hiperkolesterolemia,96.2962962962963,8/9,50.45895012432868,47.3,34.2
CVD + CKD,58.333333333333336,7/12,47.22024096898692,8116.6,923.5
Hiperkolesterolemia + CKD,63.88888888888889,7/12,45.74990433884117,7797.9,1607.6
DM2 + Hipertensi + CVD,63.1578947368421,12/19,38.652017657926486,11229.5,8182.7
DM2 + Hipertensi + Hiperkolesterolemia,64.91228070175438,12/19,38.32809082561579,8966.2,6048.6
DM2 + Hipertensi + CKD,66.66666666666667,12/19,39.26511801483273,8776.5,2481.7
DM2 + CVD + Hiperkolesterolemia,75.92592592592594,13/18,40.260463105606355,9364.1,6684.4
DM2 + CVD + CKD,71.9298245614035,13/19,38.43322413280905,18040.8,8142.8
DM2 + Hiperkolesterolemia + CKD,57.89473684210526,11/19,39.861657724521045,13436.7,3055.2
Hipertensi + CVD + Hiperkolesterolemia,71.7948717948718,9/13,43.962126816515905,1838.1,1098.9
Hipertensi + CVD + CKD,60.0,9/15,43.067332934971255,9130.7,1287.0
Hipertensi + Hiperkolesterolemia + CKD,53.333333333333336,8/15,43.71823639882549,11551.2,2007.6
CVD + Hiperkolesterolemia + CKD,75.0,9/12,46.07191860705626,7041.0,1505.0
