Profile,CS Rate,N Constraints,Avg Deviation,Best Fitness (Mean),Best Fitness (Std)
Normal,100.0,7/7,49.09190614697073,26987.4,8551.9
Diabetes Melitus Tipe 2,84.31372549019608,14/17,41.04021164822519,49013.7,9779.7
Hipertensi,97.22222222222221,11/12,40.55342240412065,38655.2,6850.5
Penyakit Kardiovaskular,100.0,8/8,46.01738889589021,156.3,36.8
Hiperkolesterolemia,100.0,9/9,48.25665223044094,24148.6,3202.9
Penyakit Ginjal Kronis,96.96969696969695,10/11,45.82991777526797,82500.0,35190.3
DM2 + Hipertensi,81.48148148148148,14/18,39.28890644914094,71140.1,39820.9
DM2 + CVD,88.88888888888887,16/18,37.99489992637759,41302.2,6939.7
DM2 + Hiperkolesterolemia,75.92592592592592,13/18,39.52934697376322,102859.4,47833.0
DM2 + CKD,68.51851851851852,12/18,40.61409960807222,197301.6,58771.6
Hipertensi + CVD,92.3076923076923,12/13,44.97873861923995,46584.8,5721.6
Hipertensi + Hiperkolesterolemia,94.87179487179488,12/13,44.67699173879871,47336.6,19702.5
Hipertensi + CKD,73.80952380952381,10/14,40.87532220795899,271738.1,93515.5
CVD + Hiperkolesterolemia,100.0,9/9,48.38837331871243,30536.2,8323.0
CVD + CKD,83.33333333333333,10/12,43.68258930768769,162286.1,49048.9
Hiperkolesterolemia + CKD,91.66666666666667,11/12,47.228340482176286,119827.2,64401.8
DM2 + Hipertensi + CVD,80.70175438596492,15/19,37.88663398325925,74874.7,27731.0
DM2 + Hipertensi + Hiperkolesterolemia,80.70175438596492,15/19,39.443000381086044,79273.8,15621.5
DM2 + Hipertensi + CKD,54.385964912280706,10/19,40.5443944497615,408394.7,113743.4
DM2 + CVD + Hiperkolesterolemia,83.33333333333334,15/18,38.46596900283131,51962.8,7149.6
DM2 + CVD + CKD,77.19298245614034,14/19,41.031616863221,147337.2,73503.8
DM2 + Hiperkolesterolemia + CKD,73.6842105263158,14/19,37.687971638951296,196573.7,71048.3
Hipertensi + CVD + Hiperkolesterolemia,97.43589743589745,12/13,47.499984659487204,46023.0,7385.9
Hipertensi + CVD + CKD,66.66666666666667,10/15,44.740939446785795,422208.3,127802.8
Hipertensi + Hiperkolesterolemia + CKD,66.66666666666666,10/15,43.372034276870096,296981.4,60461.9
CVD + Hiperkolesterolemia + CKD,91.66666666666667,11/12,44.422753602014886,133851.3,68922.0
