Profile,Optimal (%),Deficient (%),Excess (%)
Normal,56.25,43.75,0.0
Diabetes Melitus Tipe 2,42.42424242424242,48.484848484848484,9.090909090909092
Hipertensi,42.42424242424242,51.515151515151516,6.0606060606060606
Penyakit Kardiovaskular,45.45454545454545,51.515151515151516,3.0303030303030303
Hiperkolesterolemia,38.23529411764706,61.76470588235294,0.0
Penyakit Ginjal Kronis,39.39393939393939,57.57575757575758,3.0303030303030303
DM2 + Hipertensi,45.45454545454545,45.45454545454545,9.090909090909092
DM2 + CVD,41.17647058823529,52.94117647058824,5.88235294117647
DM2 + Hiperkolesterolemia,50.0,41.17647058823529,8.823529411764707
DM2 + CKD,42.42424242424242,51.515151515151516,6.0606060606060606
Hipertensi + CVD,55.88235294117647,38.23529411764706,5.88235294117647
Hipertensi + Hiperkolesterolemia,47.05882352941176,44.11764705882353,8.823529411764707
Hipertensi + CKD,45.45454545454545,48.484848484848484,6.0606060606060606
CVD + Hiperkolesterolemia,41.17647058823529,55.88235294117647,2.941176470588235
CVD + CKD,38.23529411764706,55.88235294117647,5.88235294117647
Hiperkolesterolemia + CKD,32.35294117647059,61.76470588235294,5.88235294117647
DM2 + Hipertensi + CVD,52.94117647058824,38.23529411764706,8.823529411764707
DM2 + Hipertensi + Hiperkolesterolemia,44.11764705882353,41.17647058823529,14.705882352941178
DM2 + Hipertensi + CKD,39.39393939393939,48.484848484848484,12.121212121212121
DM2 + CVD + Hiperkolesterolemia,29.411764705882355,61.76470588235294,8.823529411764707
DM2 + CVD + CKD,50.0,38.23529411764706,11.76470588235294
DM2 + Hiperkolesterolemia + CKD,32.35294117647059,61.76470588235294,5.88235294117647
Hipertensi + CVD + Hiperkolesterolemia,41.17647058823529,50.0,8.823529411764707
Hipertensi + CVD + CKD,47.05882352941176,47.05882352941176,5.88235294117647
Hipertensi + Hiperkolesterolemia + CKD,44.11764705882353,52.94117647058824,2.941176470588235
CVD + Hiperkolesterolemia + CKD,35.294117647058826,61.76470588235294,2.941176470588235
