Profile,CS Rate,CS Rate Std,N Constraints,Avg Deviation,Avg Deviation Std
Normal,61.904761904761905,6.734350297014742,4/7,56.48092229000229,4.309717443989524
Diabetes Melitus Tipe 2,41.17647058823529,4.802921064280739,7/17,45.367256938845294,3.7363382026889065
Hipertensi,55.555555555555564,3.928371006591932,6/12,51.85660719443913,0.7468639348079876
Penyakit Kardiovaskular,66.66666666666667,15.59023911155809,5/8,54.6658616404809,2.0506183450286
Hiperkolesterolemia,74.07407407407408,5.237828008789249,6/9,51.564715001334925,2.1355821496767815
Penyakit Ginjal Kronis,60.6060606060606,11.338355717496794,6/11,48.43260391348457,0.24910461046027366
DM2 + Hipertensi,48.14814814814815,2.6189140043946213,8/18,44.5005524180249,3.1445384107120367
DM2 + CVD,42.59259259259259,5.237828008789239,7/18,46.426290369368196,1.0803739833283776
DM2 + Hiperkolesterolemia,46.296296296296305,6.928995160692484,8/18,45.74119709105404,1.425028555781874
DM2 + CKD,42.59259259259259,6.9289951606924856,7/18,41.99396356560575,1.291597468142616
Hipertensi + CVD,43.58974358974359,3.626188621469472,5/13,53.955578923344945,1.0281852369717215
Hipertensi + Hiperkolesterolemia,43.58974358974359,3.626188621469472,5/13,53.94454469499112,1.4688426429702541
Hipertensi + CKD,45.23809523809524,8.908708063747477,6/14,50.137756674323164,4.454730989308251
CVD + Hiperkolesterolemia,70.37037037037037,5.237828008789249,6/9,55.9114056503606,4.233761223713658
CVD + CKD,50.0,6.804138174397716,6/12,50.12992767658235,2.673124401845509
Hiperkolesterolemia + CKD,44.44444444444445,3.928371006591928,5/12,50.82248548179398,1.8824766470963408
DM2 + Hipertensi + CVD,43.859649122807014,4.962152850431913,8/19,40.58715711727797,1.838802778210497
DM2 + Hipertensi + Hiperkolesterolemia,36.8421052631579,4.297350425935399,7/19,43.015004249583676,1.7246771156726652
DM2 + Hipertensi + CKD,29.824561403508767,4.962152850431911,5/19,44.819394558431185,3.2129141513222597
DM2 + CVD + Hiperkolesterolemia,53.703703703703695,9.442628728875524,9/18,44.430734541540424,1.2650430497254266
DM2 + CVD + CKD,45.614035087719294,2.4810764252159565,8/19,44.282814179471295,1.9051745744948925
DM2 + Hiperkolesterolemia + CKD,47.36842105263158,7.443229275647869,9/19,44.08455705961844,0.6208353568897005
Hipertensi + CVD + Hiperkolesterolemia,48.71794871794872,3.626188621469475,6/13,51.16382641684342,1.8541933840398344
Hipertensi + CVD + CKD,44.444444444444436,3.142696805273544,6/15,49.87985489072249,1.6814839805444848
Hipertensi + Hiperkolesterolemia + CKD,44.444444444444436,3.142696805273544,6/15,48.79757636922405,0.7203410112399498
CVD + Hiperkolesterolemia + CKD,52.77777777777778,3.9283710065919317,6/12,47.07229094567605,1.2294601939382985
