trial,pop_size,generations,elite_ratio,mutation_rate,ls_iterations,fitness,csr_pct,time_s,is_pareto
0,300,500,0.2,0.3,150,286021.4382922746,63.1578947368421,61.269105434417725,False
1,140,390,0.25,0.4,20,284548.2249004866,73.68421052631578,27.253487586975098,False
2,90,70,0.3,0.4,60,225709.94191360622,68.42105263157895,7.049172401428223,False
3,50,390,0.25,0.2,20,1074646.187380215,47.368421052631575,8.847045183181763,False
4,90,150,0.2,0.30000000000000004,30,114855.44948100776,68.42105263157895,9.030048131942749,False
5,200,100,0.1,0.30000000000000004,40,323319.96821128594,57.89473684210527,15.47037672996521,False
6,250,120,0.2,0.4,10,150118.07411469767,47.368421052631575,21.702341079711914,False
7,200,110,0.05,0.6,80,352569.5417227377,63.1578947368421,25.157628774642944,False
8,260,150,0.05,0.45000000000000007,40,381147.45650702476,57.89473684210527,29.76138138771057,False
9,80,220,0.05,0.6,25,727068.2274567415,52.63157894736842,16.959981441497803,False
10,220,160,0.2,0.4,20,107212.54579835423,63.1578947368421,25.69188690185547,False
11,300,320,0.3,0.55,50,277203.50000000343,63.1578947368421,60.682037353515625,False
12,280,80,0.1,0.1,30,372797.87387586804,42.10526315789473,14.526222467422485,False
13,150,140,0.25,0.25,30,429167.35065605206,63.1578947368421,12.196447610855103,False
14,190,100,0.25,0.1,80,377113.8560012533,63.1578947368421,12.143702507019043,False
15,250,120,0.05,0.5,60,225614.28652513569,52.63157894736842,31.485695362091064,False
16,230,320,0.05,0.25,15,299334.69091847254,68.42105263157895,32.16071963310242,False
17,270,270,0.1,0.1,30,415739.41549654497,57.89473684210527,23.005206823349,False
18,130,310,0.2,0.55,45,275099.28195488744,57.89473684210527,27.170281410217285,False
19,80,300,0.25,0.4,65,212082.08320275755,63.1578947368421,14.024049758911133,False
20,170,230,0.15000000000000002,0.1,15,325562.558970957,68.42105263157895,13.795308589935303,False
21,50,270,0.1,0.35,75,286435.66347201285,68.42105263157895,9.542632102966309,False
22,110,190,0.25,0.2,15,344205.4411530219,68.42105263157895,11.734761953353882,False
23,120,100,0.3,0.5,55,115845.36930561582,73.68421052631578,12.786867141723633,False
24,270,330,0.1,0.55,50,164322.7884637132,68.42105263157895,75.12306809425354,False
25,250,370,0.1,0.15000000000000002,25,225740.17041786696,63.1578947368421,32.103333711624146,False
26,160,340,0.3,0.1,45,338804.67013121065,57.89473684210527,16.426207542419434,False
27,150,120,0.05,0.25,80,333993.17126292625,57.89473684210527,13.304831981658936,False
28,130,230,0.25,0.25,80,256708.44510882298,57.89473684210527,18.033387184143066,False
29,300,140,0.15000000000000002,0.25,30,299478.9286061251,63.1578947368421,23.953058004379272,False
30,50,260,0.2,0.1,30,69326.5,84.21052631578947,6.609029293060303,False
31,280,130,0.05,0.35,80,493727.6573050275,63.1578947368421,30.01481604576111,False
32,110,290,0.25,0.2,60,432510.92275148653,57.89473684210527,14.190917015075684,False
