Profile,Greedy Time (s),GA Time (s),Greedy Feasibility (%),GA Feasibility (%)
Normal,1.1447536150614421,31.191040833791096,0.0,100.0
Diabetes Melitus Tipe 2,1.6202059586842854,24.499016523361206,0.0,0.0
Hipertensi,1.1475884914398193,24.071221113204956,0.0,100.0
Penyakit Kardiovaskular,0.9561286767323812,25.520055770874023,0.0,100.0
Hiperkolesterolemia,1.0391460259755452,23.377972920735676,0.0,100.0
Penyakit Ginjal Kronis,1.0426829655965169,31.01583234469096,0.0,0.0
DM2 + Hipertensi,1.4548582235972087,37.43822423617045,0.0,0.0
DM2 + CVD,4.810034195582072,56.018149296442665,0.0,0.0
DM2 + Hiperkolesterolemia,1.4077729384104412,40.07439931233724,0.0,0.0
DM2 + CKD,1.320945421854655,23.83663558959961,0.0,0.0
Hipertensi + CVD,0.9085190296173096,22.98837399482727,0.0,33.33333333333333
Hipertensi + Hiperkolesterolemia,0.9087771574656168,21.97707970937093,0.0,33.33333333333333
Hipertensi + CKD,1.2156988779703777,24.81360348065694,0.0,0.0
CVD + Hiperkolesterolemia,0.8143293857574463,22.387889862060547,0.0,100.0
CVD + CKD,1.0432451566060383,24.430532455444336,0.0,0.0
Hiperkolesterolemia + CKD,0.9936437606811523,30.224857648213703,0.0,0.0
DM2 + Hipertensi + CVD,1.4408797423044841,30.393952528635662,0.0,0.0
DM2 + Hipertensi + Hiperkolesterolemia,1.6312775611877441,37.84282676378886,0.0,0.0
DM2 + Hipertensi + CKD,2.0380872090657554,33.665795723597206,0.0,0.0
DM2 + CVD + Hiperkolesterolemia,2.183539946873983,27.047324021657307,0.0,0.0
DM2 + CVD + CKD,1.5603375434875488,27.100730895996094,0.0,0.0
DM2 + Hiperkolesterolemia + CKD,1.4073421955108643,27.388282140096027,0.0,0.0
Hipertensi + CVD + Hiperkolesterolemia,1.1435644626617432,27.141725540161133,0.0,33.33333333333333
Hipertensi + CVD + CKD,1.3663709163665771,25.697152137756348,0.0,0.0
Hipertensi + Hiperkolesterolemia + CKD,1.310162623723348,20.8250896135966,0.0,0.0
CVD + Hiperkolesterolemia + CKD,0.9530006249745687,20.703534841537476,0.0,0.0
