Profile,CS Rate,N Constraints,Avg Deviation,Best Fitness (Mean),Best Fitness (Std)
Normal,100.0,7/7,51.686669837584134,11466.0,3529.7
Diabetes Melitus Tipe 2,90.19607843137254,15/17,36.50681192957935,47914.7,5418.6
Hipertensi,97.22222222222221,11/12,45.67910546075395,50385.2,10121.4
Penyakit Kardiovaskular,100.0,8/8,53.363335927290144,2000.0,1866.9
Hiperkolesterolemia,100.0,9/9,50.17972729820469,28313.7,8245.6
Penyakit Ginjal Kronis,84.84848484848486,9/11,47.10666692754993,109463.4,32066.2
DM2 + Hipertensi,77.77777777777777,14/18,37.59891956936338,80659.1,20827.7
DM2 + CVD,87.03703703703702,15/18,40.11075026475924,45910.0,11455.0
DM2 + Hiperkolesterolemia,85.18518518518519,15/18,40.82651918707732,58343.7,6322.6
DM2 + CKD,77.77777777777779,14/18,37.953931074710916,134625.4,19073.2
Hipertensi + CVD,100.0,13/13,49.45425124550443,36586.6,1640.5
Hipertensi + Hiperkolesterolemia,89.74358974358974,11/13,47.928257808132145,74399.3,45848.2
Hipertensi + CKD,78.57142857142857,11/14,44.23019648379178,302328.4,141695.6
CVD + Hiperkolesterolemia,100.0,9/9,48.3556644516687,30701.9,4887.5
CVD + CKD,91.66666666666667,11/12,44.78586868465222,102681.4,61583.9
Hiperkolesterolemia + CKD,97.22222222222221,11/12,45.98071173674334,87875.2,39925.4
DM2 + Hipertensi + CVD,77.19298245614034,14/19,42.36167480015433,106503.9,42483.8
DM2 + Hipertensi + Hiperkolesterolemia,73.6842105263158,14/19,38.354668201313125,112130.6,25434.3
DM2 + Hipertensi + CKD,64.91228070175438,12/19,41.01178902912115,198761.4,50923.6
DM2 + CVD + Hiperkolesterolemia,87.03703703703702,15/18,39.237188688190706,64504.7,25293.4
DM2 + CVD + CKD,68.42105263157895,13/19,41.32397964481098,108920.8,38778.6
DM2 + Hiperkolesterolemia + CKD,68.42105263157895,13/19,40.235757956338695,210089.5,8156.3
Hipertensi + CVD + Hiperkolesterolemia,94.87179487179488,12/13,46.131392946144125,62851.7,27869.3
Hipertensi + CVD + CKD,80.0,12/15,45.68212834121989,259634.9,118365.9
Hipertensi + Hiperkolesterolemia + CKD,82.22222222222223,12/15,43.3662952082498,206755.7,68628.1
CVD + Hiperkolesterolemia + CKD,83.33333333333333,10/12,43.732322492758534,140293.8,46501.1
