Profile,CS Rate,CS Rate Std,N Constraints,Avg Deviation,Avg Deviation Std
Normal,52.38095238095238,6.734350297014738,3/7,50.671073103011615,1.6248419397570568
Diabetes Melitus Tipe 2,49.01960784313726,2.7729677693590133,8/17,44.37695662182904,1.7981879217840637
Hipertensi,50.0,6.804138174397716,6/12,55.11661294093491,2.390626152465769
Penyakit Kardiovaskular,75.0,0.0,6/8,51.1443478900887,2.193709177580081
Hiperkolesterolemia,66.66666666666666,0.0,6/9,54.275345748174374,1.703467183205382
Penyakit Ginjal Kronis,51.51515151515151,4.285495643554831,5/11,51.67047563616544,1.2540011521210226
DM2 + Hipertensi,42.592592592592595,2.6189140043946177,7/18,48.83111732544128,1.5105239891973887
DM2 + CVD,48.14814814814815,2.6189140043946213,8/18,47.6702659810448,1.2429228297315909
DM2 + Hiperkolesterolemia,48.14814814814815,5.237828008789243,8/18,47.87834317061023,2.589320004128148
DM2 + CKD,48.14814814814815,5.237828008789243,8/18,46.243500735955024,1.298018462259394
Hipertensi + CVD,56.41025641025641,3.626188621469475,7/13,55.79681207264037,2.0789680773191015
Hipertensi + Hiperkolesterolemia,48.71794871794872,3.626188621469475,6/13,51.789041842952315,2.967887876074695
Hipertensi + CKD,40.476190476190474,12.140522651411391,5/14,53.95190348723953,0.19289256492759682
CVD + Hiperkolesterolemia,59.25925925925926,5.2378280087892355,5/9,53.80207269853088,0.4727089166351433
CVD + CKD,47.22222222222223,3.928371006591928,5/12,55.00439818978296,0.652368698196915
Hiperkolesterolemia + CKD,52.77777777777778,7.85674201318386,6/12,54.520909429873775,1.5323621741076832
DM2 + Hipertensi + CVD,47.36842105263157,7.4432292756478695,9/19,50.429009355060934,2.9321146146715336
DM2 + Hipertensi + Hiperkolesterolemia,47.36842105263157,4.2973504259354005,9/19,50.79397297845012,0.5029002112640486
DM2 + Hipertensi + CKD,31.57894736842105,4.297350425935399,6/19,44.96379689683652,0.8279988189450362
DM2 + CVD + Hiperkolesterolemia,42.59259259259259,10.475656017578482,7/18,47.63604945155621,2.2558898204778246
DM2 + CVD + CKD,38.59649122807017,2.4810764252159565,7/19,48.78576175124746,1.9102358403312318
DM2 + Hiperkolesterolemia + CKD,33.333333333333336,6.564311204866563,6/19,50.48921909838549,2.86702478935174
Hipertensi + CVD + Hiperkolesterolemia,53.84615384615385,6.280742930213278,7/13,57.58402968113296,1.8128009619313679
Hipertensi + CVD + CKD,28.88888888888889,8.31479419283098,4/15,53.14054070746587,0.7247587875496166
Hipertensi + Hiperkolesterolemia + CKD,46.666666666666664,5.4433105395181745,7/15,50.83345807716444,1.9391704157842315
CVD + Hiperkolesterolemia + CKD,41.66666666666667,0.0,5/12,52.969522795810974,2.4689136265006884
