Profile,Greedy Time (s),GA Time (s),Greedy Feasibility (%),GA Feasibility (%)
Normal,0.6606928507486979,50.88529499371847,0.0,0.0
Diabetes Melitus Type 2,1.2025649547576904,61.14336276054382,0.0,0.0
Hypertension,1.1977118651072185,59.59114090601603,0.0,0.0
Cardiovascular Disease,0.8502350648244222,45.890724658966064,0.0,0.0
Hypercholesterolemia,0.8638159434000651,51.832172791163124,0.0,0.0
Chronic Kidney Disease Stage 1,0.9660413265228271,64.92724672953288,0.0,0.0
Diabetes + Hipertensi,1.4300054709116619,55.75216364860535,0.0,0.0
Diabetes + Hiperkolesterolemia,1.4428236484527588,63.411000887552895,0.0,0.0
Hipertensi + Kardiovaskular,1.1188076337178547,58.50508427619934,0.0,0.0
CKD + Hipertensi,1.2057870229085286,65.67477615674336,0.0,0.0
Diabetes + Hipertensi + Hiperkolesterolemia,1.5155733426411946,67.87210043271382,0.0,0.0
CKD + Diabetes + Hipertensi,1.5441172917683919,52.5828644434611,0.0,0.0
Hipertensi + Hiperkolesterolemia + CVD,0.9319647947947184,41.61940598487854,0.0,0.0
