Profile,CS Rate,N Constraints,Avg Deviation,Best Fitness (Mean),Best Fitness (Std)
Normal,61.111111111111114,3/6,55.122513558591436,352.4,446.3
Diabetes Melitus Tipe 2,48.888888888888886,7/15,43.00612579076011,660.6,475.7
Hipertensi,36.36363636363637,4/11,49.85565088878337,337.1,129.2
Penyakit Kardiovaskular,71.42857142857143,5/7,56.15974728721644,305.6,430.7
Hiperkolesterolemia,58.333333333333336,4/8,50.12830466614369,346.1,440.4
Penyakit Ginjal Kronis,25.925925925925924,2/9,54.956301304873385,18153.4,7578.8
DM2 + Hipertensi,39.21568627450981,6/17,44.420859598625555,3896.9,2331.9
DM2 + CVD,49.01960784313726,8/17,42.482075833075235,523.3,161.4
DM2 + Hiperkolesterolemia,52.94117647058823,9/17,42.58623916347923,2804.4,3219.8
DM2 + CKD,41.1764705882353,7/17,43.85095311228516,16136.2,11017.1
Hipertensi + CVD,50.0,6/12,46.715053532432336,1257.5,1009.7
Hipertensi + Hiperkolesterolemia,47.22222222222222,5/12,47.48926132499705,683.4,161.7
Hipertensi + CKD,35.897435897435905,4/13,42.51876218728817,12201.6,3703.3
CVD + Hiperkolesterolemia,33.333333333333336,2/8,52.84367003769007,41.6,28.1
CVD + CKD,51.51515151515151,5/11,45.44618889212654,18610.3,1534.4
Hiperkolesterolemia + CKD,39.3939393939394,4/11,47.74597801191488,16620.2,6948.5
DM2 + Hipertensi + CVD,40.74074074074074,7/18,46.06176984117089,3297.9,1303.2
DM2 + Hipertensi + Hiperkolesterolemia,51.85185185185185,9/18,41.99976916655728,1850.7,706.6
DM2 + Hipertensi + CKD,44.444444444444436,8/18,39.52461069806205,18429.7,8011.1
DM2 + CVD + Hiperkolesterolemia,47.05882352941177,8/17,40.441882169897674,1665.3,1946.1
DM2 + CVD + CKD,40.74074074074074,7/18,47.184933610361554,14917.5,2306.7
DM2 + Hiperkolesterolemia + CKD,44.44444444444445,8/18,43.61232997604608,19306.8,5308.6
Hipertensi + CVD + Hiperkolesterolemia,30.555555555555557,3/12,49.545986731329606,1031.0,158.7
Hipertensi + CVD + CKD,42.857142857142854,6/14,42.66397546625738,21239.5,8065.4
Hipertensi + Hiperkolesterolemia + CKD,28.57142857142857,4/14,47.113072363974815,4408.8,4795.3
CVD + Hiperkolesterolemia + CKD,48.48484848484848,5/11,50.082951643320406,11731.3,6954.5
