Profile,CS Rate,CS Rate Std,N Constraints,Avg Deviation,Avg Deviation Std
Normal,66.66666666666667,13.608276348795439,4/6,55.88363275513483,1.409066891835804
Diabetes Melitus Tipe 2,53.333333333333336,5.4433105395181745,8/15,45.06799776263285,1.7161520716653018
Hipertensi,36.36363636363636,7.422696190252055,4/11,48.59688106160806,1.0694826883199544
Penyakit Kardiovaskular,85.71428571428572,11.664236870396085,6/7,53.51961547424114,1.6230167733863534
Hiperkolesterolemia,75.0,10.206207261596576,6/8,49.564389515888344,1.6356749545947062
Penyakit Ginjal Kronis,55.55555555555555,9.072184232530285,5/9,48.5302314302971,2.786274905400641
DM2 + Hipertensi,41.1764705882353,8.318903308077028,7/17,46.7237207036788,3.140240735460774
DM2 + CVD,45.09803921568628,9.998077477632913,7/17,45.88958699904788,0.9279377081580268
DM2 + Hiperkolesterolemia,47.05882352941177,8.318903308077035,8/17,46.670058513470046,1.8010099021132666
DM2 + CKD,45.09803921568627,12.087086280331327,7/17,45.37150017902581,0.9247578996541136
Hipertensi + CVD,44.444444444444436,7.8567420131838634,5/12,52.428524717095875,1.368263780252655
Hipertensi + Hiperkolesterolemia,47.22222222222223,3.928371006591928,5/12,52.29585055438728,0.4760961598125646
Hipertensi + CKD,30.76923076923077,0.0,4/13,52.33835498820908,0.5338325983108093
CVD + Hiperkolesterolemia,62.5,0.0,5/8,50.32438136074992,0.7849799819512453
CVD + CKD,45.45454545454546,14.84539238050411,5/11,51.35883125819763,1.091566800690396
Hiperkolesterolemia + CKD,48.48484848484848,8.570991287109662,5/11,50.46578680946095,1.1566457547357807
DM2 + Hipertensi + CVD,44.444444444444436,7.8567420131838634,8/18,48.17195125398001,1.8615835961341771
DM2 + Hipertensi + Hiperkolesterolemia,48.14814814814815,2.618914004394621,8/18,50.868953955502285,1.4986950249862978
DM2 + Hipertensi + CKD,40.74074074074074,2.6189140043946177,7/18,44.261655371273555,2.1102702407198266
DM2 + CVD + Hiperkolesterolemia,47.05882352941177,4.802921064280744,8/17,48.28889239695368,2.606427930443689
DM2 + CVD + CKD,35.18518518518518,2.6189140043946244,6/18,49.42104627008081,0.8629927219402084
DM2 + Hiperkolesterolemia + CKD,44.444444444444436,7.8567420131838634,8/18,46.46375074741585,4.194347759565936
Hipertensi + CVD + Hiperkolesterolemia,47.22222222222223,3.928371006591928,5/12,52.20567563114103,2.513517835241856
Hipertensi + CVD + CKD,42.857142857142854,10.101525445522105,6/14,53.09589027737892,2.3979845409895004
Hipertensi + Hiperkolesterolemia + CKD,38.095238095238095,3.3671751485073673,5/14,51.73382989229638,3.585946104644508
CVD + Hiperkolesterolemia + CKD,48.48484848484848,11.338355717496789,5/11,51.795406131111484,1.2761552099100133
