Profile,CS Rate,N Constraints,Avg Deviation,Best Fitness (Mean),Best Fitness (Std)
Normal,66.66666666666666,4/6,63.11288890157122,2228.2,241.7
Diabetes Melitus Type 2,39.99999999999999,6/15,41.586465864402136,20462.5,5804.1
Hypertension,42.42424242424242,4/11,51.32203042850039,6704.5,2883.0
Cardiovascular Disease,66.66666666666666,4/7,61.72951383881997,4768.7,4061.5
Hypercholesterolemia,62.5,5/8,54.119590683229696,2883.4,645.6
Chronic Kidney Disease Stage 1,40.74074074074073,3/9,50.71693617221356,21462.7,6728.3
Diabetes + Hipertensi,50.98039215686274,8/17,39.25162268308063,21522.3,6720.7
Diabetes + Hiperkolesterolemia,43.13725490196077,7/17,43.477717030579356,16120.0,2893.6
Hipertensi + Kardiovaskular,50.0,6/12,54.6285635312077,12750.9,2426.7
CKD + Hipertensi,46.15384615384615,6/13,40.68936664334198,32446.7,4498.3
Diabetes + Hipertensi + Hiperkolesterolemia,35.18518518518519,6/18,46.508861953784454,16755.2,2128.7
CKD + Diabetes + Hipertensi,48.14814814814815,8/18,38.03691095560827,32541.8,7332.3
Hipertensi + Hiperkolesterolemia + CVD,50.0,6/12,54.21007524328229,10676.3,3660.2
