Profile,CS Rate,CS Rate Std,N Constraints,Avg Deviation,Avg Deviation Std
Normal,61.11111111111111,7.856742013183856,3/6,58.05978533496168,0.2553313375993499
Diabetes Melitus Type 2,51.111111111111114,8.31479419283098,7/15,46.42923950605071,0.3065228038022661
Hypertension,39.39393939393939,8.570991287109667,4/11,53.26652508891588,2.63309461472447
Cardiovascular Disease,71.42857142857143,11.664236870396085,5/7,55.645180147954136,0.6425101570484254
Hypercholesterolemia,75.0,0.0,6/8,52.2213528885924,1.3695005864749659
Chronic Kidney Disease Stage 1,40.74074074074074,18.885257457751052,3/9,51.85804129435434,5.188666431673786
Diabetes + Hipertensi,39.2156862745098,7.336583111321451,6/17,48.151832698781135,2.983646399657568
Diabetes + Hiperkolesterolemia,47.05882352941176,0.0,8/17,48.157530978575586,1.5981442496905458
Hipertensi + Kardiovaskular,38.88888888888889,3.928371006591935,4/12,53.825393766612585,1.77493791788248
CKD + Hipertensi,30.76923076923077,10.878565864408422,4/13,50.70946370493008,1.4866301296179327
Diabetes + Hipertensi + Hiperkolesterolemia,44.444444444444436,7.105427357601002e-15,8/18,49.614363661117125,0.9572215543127328
CKD + Diabetes + Hipertensi,40.74074074074074,6.9289951606924856,7/18,46.517063437284015,4.305012025722345
Hipertensi + Hiperkolesterolemia + CVD,44.44444444444445,3.928371006591928,5/12,55.76611116508036,2.882975138953642
