comma_count,food_name_sample
0,Corned beef and potatoes in tortilla (Apache)
0,Yeast extract spread
0,Tofu yogurt
0,Candied fruit
0,Horned melon (Kiwano)
0,Orange Pineapple Juice Blend
0,Chocolate-flavored hazelnut spread
0,Acorn stew (Apache)
1,"Tostada shells, corn"
1,"Bread, salvadoran sweet cheese (quesadilla salvadorena)"
1,"Pastry, Pastelitos de Guava (guava pastries)"
1,"Bread, white wheat"
1,"Bagels, wheat"
1,"Candies, white chocolate"
1,"Ice creams, vanilla"
1,"Sherbet, orange"
2,"Pie, Dutch Apple, Commercially Prepared"
2,"Bread, pound cake type, pan de torta salvadoran"
2,"Crackers, cream, Gamesa Sabrosas"
2,"Snacks, fruit leather, pieces"
2,"Snacks, fruit leather, rolls"
2,"Candies, honey-combed, with peanut butter"
2,"Snacks, popcorn, cakes"
2,"Snacks, tortilla chips, nacho cheese"
3,"Waffles, buttermilk, frozen, ready-to-heat"
3,"Pie Crust, Cookie-type, Chocolate, Ready Crust"
3,"Waffles, chocolate chip, frozen, ready-to-heat"
3,"Cream puff, eclair, custard or cream filled, iced"
3,"Tortillas, ready-to-bake or -fry, flour, shelf stable"
3,"Snacks, granola bars, hard, plain"
3,"Snacks, granola bars, hard, almond"
3,"Snacks, popcorn, caramel-coated, with peanuts"
4,"Waffle, buttermilk, frozen, ready-to-heat, toasted"
4,"Waffle, buttermilk, frozen, ready-to-heat, microwaved"
4,"Waffle, plain, frozen, ready-to-heat, microwave"
4,"Pie crust, deep dish, frozen, unbaked, made with enriched flour"
4,"Snacks, corn-based, extruded, chips, plain"
4,"Snacks, corn-based, extruded, chips, barbecue-flavor"
4,"Snacks, corn-based, extruded, cones, plain"
4,"Snacks, granola bars, soft, uncoated, raisin"
5,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip"
5,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter"
5,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat"
5,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated"
5,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids"
5,"Cherries, sweet, canned, pitted, heavy syrup, drained"
5,"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E"
5,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium"
6,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt"
6,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt"
6,"Squash, summer, crookneck and straightneck, cooked, boiled, drained, without salt"
6,"Squash, summer, crookneck and straightneck, canned, drained, solid, without salt"
6,"Squash, winter, butternut, frozen, cooked, boiled, without salt"
6,"Succotash, (corn and limas), frozen, cooked, boiled, drained, without salt"
6,"Mung beans, mature seeds, sprouted, cooked, boiled, drained, with salt"
6,"Broccoli, frozen, chopped, cooked, boiled, drained, with salt"
7,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt"
7,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt"
7,"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt"
7,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, with salt"
7,"Beans, navy, mature seeds, sprouted, cooked, boiled, drained, with salt"
7,"Beans, pinto, immature seeds, frozen, cooked, boiled, drained, with salt"
7,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt"
7,"Peppers, sweet, red, frozen, chopped, boiled, drained, without salt"
8,"Corn, sweet, yellow, frozen, kernels on cob, cooked, boiled, drained, without salt"
8,"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt"
8,"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat, select, raw"
8,"Corn, sweet, yellow, frozen, kernels, cut off cob, boiled, drained, with salt"
8,"Corn, sweet, yellow, frozen, kernels on cob, cooked, boiled, drained, with salt"
8,"Corn, sweet, white, frozen, kernels on cob, cooked, boiled, drained, without salt"
8,"Corn, sweet, white, frozen, kernels on cob, cooked, boiled, drained, with salt"
8,"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat, all grades, raw"
9,"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat, choice, cooked, grilled"
9,"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled"
9,"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled"
9,"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled"
9,"Beef, chuck, shoulder clod, shoulder tender, medallion, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled"
10,"Lamb, Australian, imported, fresh, leg, trotter off, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, roasted"
