number,pop_size,generations,ls_iterations,actual_fitness,avg_time_sec,penalized_score,state
0,93,80,41,0.0,43.4015699227651,0.0,COMPLETE
1,75,72,26,0.0,39.16457382837931,0.0,COMPLETE
2,94,78,36,0.0,51.091456254323326,609145.6254323326,COMPLETE
3,88,50,41,0.0,26.527071714401245,0.0,COMPLETE
4,39,63,46,0.0,15.763964176177979,0.0,COMPLETE
5,77,67,44,0.0,30.008625904719036,0.0,COMPLETE
6,95,52,34,0.0,45.72546068827311,72546.06882731096,COMPLETE
7,86,66,27,0.0,35.06259489059448,0.0,COMPLETE
8,67,93,29,0.0,39.142324447631836,0.0,COMPLETE
9,54,99,37,0.0,45.19151647885641,19151.647885640697,COMPLETE
10,38,139,20,0.0,40.25111714998881,0.0,COMPLETE
11,73,101,49,0.0,48.32059288024902,332059.28802490234,COMPLETE
