food_group,n,mean_comma,pct_comma_ge_5
Beef Products,106,6.283,83.9623
"Lamb, Veal, and Game Products",58,4.8103,56.8966
Poultry Products,113,4.2743,46.0177
Vegetables and Vegetable Products,763,3.5413,31.848
Finfish and Shellfish Products,56,3.4821,5.3571
Beverages,101,3.3762,19.802
Legumes and Legume Products,214,3.0794,25.2336
Breakfast Cereals,125,2.952,20.0
"Soups, Sauces, and Gravies",209,2.9282,3.3493
Fats and Oils,83,2.9036,13.253
Snacks,155,2.8645,5.1613
Nut and Seed Products,131,2.7328,2.2901
Cereal Grains and Pasta,169,2.6509,9.4675
Fruits and Fruit Juices,309,2.5372,3.5599
Dairy and Egg Products,251,2.5299,5.5777
Baked Products,419,2.4654,4.2959
Sausages and Luncheon Meats,25,2.44,0.0
"Meals, Entrees, and Side Dishes",74,2.4189,5.4054
Sweets,213,2.2911,2.3474
Fast Foods,203,2.1281,4.9261
Restaurant Foods,97,1.8247,0.0
