position_after_base,segment,count,percentage_at_position
1,raw,145,3.7958
1,canned,140,3.6649
1,cooked,112,2.9319
1,frozen,97,2.5393
1,white,67,1.7539
1,sweet,62,1.623
1,new zealand,49,1.2827
1,mature seeds,44,1.1518
1,chocolate,37,0.9686
1,broilers or fryers,37,0.9686
1,quaker,36,0.9424
1,whole,28,0.733
1,immature seeds,26,0.6806
1,plain,24,0.6283
1,yellow,24,0.6283
1,green,23,0.6021
1,snap,23,0.6021
1,winter,22,0.5759
1,variety meats and by-products,22,0.5759
1,vanilla,20,0.5236
2,canned,150,4.6111
2,raw,138,4.2422
2,cooked,137,4.2115
2,boiled,87,2.6745
2,mature seeds,75,2.3056
2,dry mix,73,2.2441
2,frozen,65,1.9982
2,imported,51,1.5678
2,commercially prepared,48,1.4756
2,white,38,1.1682
2,unsweetened,35,1.0759
2,yellow,35,1.0759
2,boneless,35,1.0759
2,dry,34,1.0452
2,prepared from recipe,34,1.0452
2,plain,33,1.0144
2,dried,32,0.9837
2,red,28,0.8607
2,fluid,27,0.83
2,unprepared,26,0.7993
3,cooked,171,7.6888
3,boiled,103,4.6313
3,raw,97,4.3615
3,drained,89,4.0018
3,canned,70,3.1475
3,frozen,58,2.6079
3,regular,44,1.9784
3,solids and liquids,41,1.8435
3,condensed,34,1.5288
3,prepared with equal volume water,31,1.3939
3,meat and skin,30,1.3489
3,with salt,22,0.9892
3,separable lean only,22,0.9892
3,boneless,22,0.9892
3,without salt,20,0.8993
3,separable lean and fat,19,0.8543
3,meat only,19,0.8543
3,instant,18,0.8094
3,baked,18,0.8094
3,enriched,18,0.8094
4,drained,89,6.9914
4,boiled,87,6.8342
4,cooked,86,6.7557
4,with salt,69,5.4203
4,without salt,68,5.3417
4,raw,46,3.6135
4,solids and liquids,39,3.0636
4,separable lean and fat,35,2.7494
4,frozen,24,1.8853
4,enriched,23,1.8068
4,separable lean only,22,1.7282
4,"trimmed to 1/8"" fat",21,1.6496
4,unenriched,15,1.1783
4,baked,15,1.1783
4,unprepared,12,0.9427
4,"trimmed to 0"" fat",12,0.9427
4,prepared with whole milk,11,0.8641
4,fried,11,0.8641
4,plain,10,0.7855
4,denver cut,10,0.7855
5,with salt,71,11.3419
5,without salt,68,10.8626
5,drained,49,7.8275
5,boiled,36,5.7508
5,raw,31,4.9521
5,cooked,28,4.4728
5,fried,23,3.6741
5,"trimmed to 0"" fat",21,3.3546
5,choice,15,2.3962
5,solids and liquids,13,2.0767
5,dry,12,1.9169
5,all grades,11,1.7572
5,unprepared,10,1.5974
5,separable lean and fat,10,1.5974
5,drained solids,9,1.4377
5,enriched,8,1.278
5,"trimmed to 1/8"" fat",7,1.1182
5,roasted,7,1.1182
5,regular pack,6,0.9585
5,no salt added,6,0.9585
6,without salt,35,14.2276
6,with salt,32,13.0081
6,drained,25,10.1626
6,cooked,24,9.7561
6,raw,17,6.9106
6,"trimmed to 0"" fat",11,4.4715
6,boiled,10,4.065
6,all grades,10,4.065
6,choice,10,4.065
6,select,8,3.252
6,batter,8,3.252
6,flour,8,3.252
6,fast fried,5,2.0325
6,solids and liquids,4,1.626
6,braised,4,1.626
6,fast roasted,4,1.626
6,with added vitamin d,3,1.2195
6,separable lean and fat,3,1.2195
6,heated in oven,2,0.813
6,or baked,2,0.813
7,raw,21,19.8113
7,without salt,16,15.0943
7,with salt,16,15.0943
7,grilled,11,10.3774
7,cooked,10,9.434
7,drained,8,7.5472
7,roasted,6,5.6604
7,choice,4,3.7736
7,all grades,4,3.7736
7,select,3,2.8302
7,pan-fried,1,0.9434
7,vitamins b6 and b12,1,0.9434
7,braised,1,0.9434
7,strawberry),1,0.9434
7,fast fried,1,0.9434
7,separable lean and fat,1,0.9434
7,without added sodium or vitamin a,1,0.9434
8,grilled,7,23.3333
8,raw,6,20.0
8,with salt,5,16.6667
8,cooked,5,16.6667
8,without salt,3,10.0
8,slow roasted,2,6.6667
8,roasted,1,3.3333
8,"trimmed to 1/8"" fat",1,3.3333
9,grilled,5,83.3333
9,cooked,1,16.6667
10,roasted,1,100.0
